cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_5312_00012,allée Villagory,12,,TC0277,1567055.11450000,5181137.34140000,1.28911785,45.81743269
87085_5312_00013,allée Villagory,13,,TC0277,1567001.79410000,5181141.16540000,1.28843081,45.81745678
87085_5312_00014,allée Villagory,14,,TC0277,1567048.44810000,5181146.92500000,1.28902943,45.81751761
87085_5312_00015,allée Villagory,15,,TC0277,1567000.85210000,5181116.47600000,1.28842552,45.81723450
87085_5312_00016,allée Villagory,16,,TC0277,1567037.98330000,5181150.94670000,1.28889369,45.81755177
87085_5312_00017,allée Villagory,17,,TC0277,1566995.53960000,5181108.64620000,1.28835934,45.81716304
87085_5312_00018,allée Villagory,18,,TC0277,1567019.82380000,5181150.00110000,1.28866033,45.81753975
87085_5312_00020,allée Villagory,20,,TC0277,1567001.39070000,5181149.05760000,1.28842344,45.81752770
87085_5312_00022,allée Villagory,22,,TC0277,1566991.30290000,5181145.64060000,1.28829461,45.81749501
87085_5312_00024,allée Villagory,24,,TC0277,1566986.44730000,5181140.21260000,1.28823364,45.81744524
87085_5312_00026,allée Villagory,26,,TC0277,1566983.05660000,5181126.68090000,1.28819376,45.81732286
87085_5312_00028,allée Villagory,28,,TC0277,1566959.70050000,5181111.99970000,1.28789734,45.81718628
87085_5312_00030,allée Villagory,30,,TC0278,1566950.00430000,5181101.25640000,1.28777557,45.81708776
87085_5312_00032,allée Villagory,32,,TC0278,1566963.64940000,5181108.36940000,1.28794915,45.81715438
87085_5371_00001,allée Weber,1,,SK0009,1564961.85370000,5186903.22320000,1.26056771,45.86889243
87085_5371_00003,allée Weber,3,,SK0009,1564961.25980000,5186908.83380000,1.26055848,45.86894278
87085_5371_00005,allée Weber,5,,SK0009,1564960.69740000,5186915.11780000,1.26054947,45.86899920
87085_5371_00007,allée Weber,7,,SK0009,1564959.80990000,5186923.12840000,1.26053579,45.86907108
87085_5371_00009,allée Weber,9,,SK0009,1564959.33290000,5186928.07470000,1.26052826,45.86911548
87085_5371_00011,allée Weber,11,,SK0009,1564958.58170000,5186933.85750000,1.26051696,45.86916736
87085_5371_00013,allée Weber,13,,SK0009,1564958.17550000,5186940.50110000,1.26050986,45.86922704
87085_5371_00015,allée Weber,15,,SK0009,1564957.49070000,5186947.27140000,1.26049913,45.86928781
87085_5371_00017,allée Weber,17,,SK0009,1564956.63990000,5186954.68210000,1.26048609,45.86935430
87085_5371_00019,allée Weber,19,,SK0009,1564956.01330000,5186961.38260000,1.26047614,45.86941445
87085_5381_00001,allée Xavier Bichat,1,,NL0033,1561907.25340000,5180948.86740000,1.22294515,45.81472313
87085_5381_00002,allée Xavier Bichat,2,,NL0031,1561892.93620000,5180946.93300000,1.22276152,45.81470286
87085_5381_00003,allée Xavier Bichat,3,,NL0033,1561937.51080000,5180957.18700000,1.22333200,45.81480404
87085_5381_00005,allée Xavier Bichat,5,,NL0033,1561944.77070000,5180940.32810000,1.22343023,45.81465385
87085_5381_00007,allée Xavier Bichat,7,,NL0033,1561947.03940000,5180926.39360000,1.22346341,45.81452895
87085_5381_00009,allée Xavier Bichat,9,,NL0033,1561948.55600000,5180912.46500000,1.22348692,45.81440396
87085_5381_00011,allée Xavier Bichat,11,,NL0033,1561972.29760000,5180887.32320000,1.22379955,45.81418256
87085_5381_00015,allée Xavier Bichat,15,,NL0035,1561986.30560000,5180883.19750000,1.22398094,45.81414826
87085_5381_00017,allée Xavier Bichat,17,,NL0035,1561993.86300000,5180872.10340000,1.22408134,45.81404998
87085_5381_00019,allée Xavier Bichat,19,,NL0035,1562008.11870000,5180867.59950000,1.22426602,45.81401233
87085_8383_00003,allée Yves Montand,3,,EN0219,1565233.00130000,5182715.44280000,1.26523398,45.83127412
87085_0035_00001,avenue Adrien Tarrade,1,,CZ0177,1564633.42880000,5183684.55860000,1.25724562,45.83987413
87085_0035_00002,avenue Adrien Tarrade,2,,CY0061,1564619.42520000,5183742.27630000,1.25704913,45.84039058
87085_0035_00004,avenue Adrien Tarrade,4,,CY0059,1564614.78770000,5183729.03500000,1.25699318,45.84027055
87085_0035_00006,avenue Adrien Tarrade,6,,CY0058,1564610.67250000,5183718.52820000,1.25694317,45.84017523
87085_0035_00008,avenue Adrien Tarrade,8,,CY0057,1564606.39680000,5183706.73380000,1.25689147,45.84006829
87085_0035_00009,avenue Adrien Tarrade,9,,CZ0243,1564598.62510000,5183660.02020000,1.25680460,45.83964654
87085_0035_00010,avenue Adrien Tarrade,10,,CY0056,1564603.81170000,5183699.46400000,1.25686024,45.84000238
87085_0035_00011,avenue Adrien Tarrade,11,,CZ0242,1564582.59960000,5183648.40140000,1.25660163,45.83953887
87085_0035_00012,avenue Adrien Tarrade,12,,CY0055,1564601.14090000,5183692.89080000,1.25682772,45.83994273
87085_0035_00013,avenue Adrien Tarrade,13,,CZ0170,1564566.49790000,5183637.20920000,1.25639755,45.83943502
87085_0035_00014,avenue Adrien Tarrade,14,,CY0063,1564584.57940000,5183670.87570000,1.25662077,45.83974143
87085_0035_00015,avenue Adrien Tarrade,15,,CZ0157,1564553.03570000,5183627.47940000,1.25622703,45.83934484
87085_0035_00016,avenue Adrien Tarrade,16,,CY0064,1564574.82780000,5183663.97320000,1.25649721,45.83967742
87085_0035_00017,avenue Adrien Tarrade,17,,CZ0156,1564541.29720000,5183619.22780000,1.25607828,45.83926830
87085_0035_00018,avenue Adrien Tarrade,18,,CY0065,1564564.40710000,5183656.42860000,1.25636522,45.83960750
87085_0035_00019,avenue Adrien Tarrade,19,,CZ0146,1564532.35010000,5183613.37180000,1.25596478,45.83921386
87085_0035_00020,avenue Adrien Tarrade,20,,CY0073,1564553.42080000,5183648.81990000,1.25622597,45.83953689
87085_0035_00021,avenue Adrien Tarrade,21,,CZ0145,1564525.22860000,5183608.21010000,1.25587458,45.83916602
87085_0035_00022,avenue Adrien Tarrade,22,,CY0134,1564545.52900000,5183643.00690000,1.25612604,45.83948304
87085_0035_00023,avenue Adrien Tarrade,23,,CZ0144,1564517.30660000,5183602.48990000,1.25577424,45.83911301
87085_0035_00025,avenue Adrien Tarrade,25,,CZ0143,1564510.20590000,5183597.42800000,1.25568428,45.83906607
87085_0035_00027,avenue Adrien Tarrade,27,,CZ0142,1564502.18300000,5183591.70910000,1.25558264,45.83901305
87085_0035_00028,avenue Adrien Tarrade,28,,CY0080,1564515.33000000,5183621.70630000,1.25574338,45.83928548
87085_0035_00029,avenue Adrien Tarrade,29,,CZ0140,1564496.20970000,5183587.55800000,1.25550693,45.83897453
