cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_0557_00016,allée Bérénice,16,,LT0247,1567788.86300000,5187323.04890000,1.29685570,45.87321868
87085_0557_00018,allée Bérénice,18,,LT0247,1567789.80910000,5187333.36300000,1.29686504,45.87331164
87085_0557_00020,allée Bérénice,20,,LT0247,1567791.03450000,5187344.32150000,1.29687781,45.87341046
87085_0557_00022,allée Bérénice,22,,LT0247,1567791.79570000,5187354.82600000,1.29688472,45.87350510
87085_0557_00024,allée Bérénice,24,,LT0247,1567793.46070000,5187371.38270000,1.29690160,45.87365436
87085_0557_00026,allée Bérénice,26,,LT0247,1567794.35590000,5187382.41030000,1.29691009,45.87375373
87085_0557_00028,allée Bérénice,28,,LT0247,1567795.69370000,5187392.80100000,1.29692446,45.87384746
87085_0557_00030,allée Bérénice,30,,LT0247,1567796.53140000,5187404.12160000,1.29693213,45.87394945
87085_0563_00001,allée Bernard Courtois,1,,MD0028,1565255.01050000,5188021.14130000,1.26402887,45.87900626
87085_0563_00003,allée Bernard Courtois,3,,MD0029,1565239.80200000,5188015.54170000,1.26383457,45.87895290
87085_0563_00004,allée Bernard Courtois,4,,MD0033,1565239.70220000,5188039.23420000,1.26382663,45.87916601
87085_0563_00005,allée Bernard Courtois,5,,MD0030,1565224.47930000,5188018.75270000,1.26363632,45.87897878
87085_0563_00006,allée Bernard Courtois,6,,MD0031,1565231.79610000,5188032.57700000,1.26372667,45.87910457
87085_0576_00003,allée Berthe Morisot,3,,KZ0102,1567930.73550000,5191908.47110000,1.29742026,45.91449463
87085_0576_00004,allée Berthe Morisot,4,,KZ0096,1567925.31370000,5191900.23610000,1.29735265,45.91441951
87085_0576_00005,allée Berthe Morisot,5,,KZ0101,1567954.85290000,5191927.16810000,1.29772592,45.91466746
87085_0576_00006,allée Berthe Morisot,6,,KZ0097,1567941.92890000,5191901.70310000,1.29756638,45.91443590
